"xpos","ypos","coin","emnemy","shot","enemy/shot","level","keyX","keyY","respawn_enemy", "respawn_coin"
284.9,515.0,1,10,10,0,6,13,0,14,6
323.4,536,1,9,12,3,6,2,2,10,1
307.8,358.6,2,0,0,0,1,4,2,5,7
281.9,512.9,3,1,2,1,1,3,5,1,3
224.4,487.0,3,4,5,1,2,13,5,9,8
338.8,536,3,4,7,3,3,15,0,9,8
368.0,500,0,0,0,0,1,0,0,5,5
493.3,321.0,2,1,2,1,1,6,3,1,2
602.5,491.2,2,3,3,0,2,7,5,8,7
210.5,536,0,4,11,7,2,17,0,4,0
224.5,536,2,3,7,4,3,5,0,8,7
429.6,536,1,8,11,3,3,16,2,8,1
484.9,503.1,2,8,10,2,4,3,1,13,7
259.5,536,0,8,10,2,4,15,2,8,0
375.0,536,1,6,9,3,5,10,2,11,6
479.3,536,1,6,9,3,5,16,3,5,1
361.0,536,0,7,9,2,6,8,0,13,5
411.4,536,1,12,12,0,6,10,0,11,1
368.0,500,0,0,0,0,1,0,0,5,5
447.1,364.2,2,0,0,0,1,4,4,0,2
429.6,431.4,4,1,1,0,2,5,5,6,9
60.9,524.8,2,0,1,1,2,4,3,0,2
414.4,457.6,3,4,7,3,3,11,4,9,8
301.7,524.8,1,8,10,2,3,7,4,7,1
266.0,368.0,2,3,5,2,3,8,2,4,2
399.7,480.0,2,5,6,1,4,9,4,9,7
366.8,513.6,2,8,9,1,4,11,1,9,2
430.5,536,0,9,12,3,5,19,1,14,5
397.6,536,2,15,15,0,5,24,0,15,2
455.5,500,0,0,0,0,1,2,0,5,5
652.2,500.3,2,0,1,1,1,4,4,0,2
506.6,471.6,3,0,0,0,2,6,2,5,8
616.5,520.6,1,5,9,4,2,11,1,5,1
426.8,536,1,3,7,4,3,22,1,7,6
538.8,510.1,2,5,7,2,3,14,4,6,2
193.0,522.0,0,5,7,2,4,9,0,10,5
189.0,526.2,2,2,4,2,4,18,4,2,2
147.7,536,0,3,4,1,4,20,0,3,0
317.1,536,1,6,10,4,5,12,0,11,6
368.0,500,0,0,0,0,1,0,0,5,5
311.3,402.7,1,0,0,0,1,4,3,0,1
318.3,358.9,4,0,0,0,1,7,5,0,4
341.4,445.7,1,4,5,1,2,3,3,8,6
631.9,526.2,3,1,4,3,2,7,2,2,3
574.3,506.6,0,4,5,1,3,7,3,9,5
202.4,536,3,6,7,1,3,6,3,6,3
361.2,536,2,5,7,2,4,13,2,10,7
358.9,500,0,0,2,2,1,7,0,5,5
655.0,376.1,2,3,6,3,1,19,2,3,2
288.9,342.5,6,4,7,3,2,6,6,9,11
93.8,480.0,1,1,7,6,2,4,4,1,1
231.0,510.8,0,3,8,5,3,4,4,8,5
385.0,536,2,7,7,0,3,13,2,7,2
476.0,536,2,9,12,3,3,7,0,9,2
267.4,536,0,8,10,2,4,6,0,13,5
472.5,536,0,9,11,2,4,8,0,9,0
385.0,536,2,7,8,1,5,15,0,12,7
227.5,536,0,7,8,1,5,14,0,7,0
435.4,536,1,12,13,1,5,17,0,12,1
627.2,536,2,9,10,1,6,12,0,14,7
